video,frame,keyframe,mode,divider,key_dist,rle_key,rle_delta,ratio_Y,ratio_Cb,ratio_Cr,mse_rgb
clip_1.mp4,0,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3692430234053498
clip_1.mp4,1,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3694301376028807
clip_1.mp4,2,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3632839827674897
clip_1.mp4,3,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3602473958333333
clip_1.mp4,4,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3595095486111111
clip_1.mp4,5,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.35903452932098767
clip_1.mp4,6,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3592319315843621
clip_1.mp4,7,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.35902199074074076
clip_1.mp4,8,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.36033307613168725
clip_1.mp4,9,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.36248601466049385
clip_1.mp4,10,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3616186021090535
clip_1.mp4,11,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3615959362139918
clip_1.mp4,12,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3621797839506173
clip_1.mp4,13,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3630132780349794
clip_1.mp4,14,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.36714795524691357
clip_1.mp4,15,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3677735982510288
clip_1.mp4,16,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.3681587577160494
clip_1.mp4,17,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.36801150977366254
clip_1.mp4,18,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.36770142103909464
clip_1.mp4,19,1,4:4:4,1,1,0,1,1.0,1.0,1.0,0.36875835905349796
clip_1.mp4,0,1,4:4:4,1,2,0,1,1.0,1.0,1.0,0.3692430234053498
clip_1.mp4,1,0,4:4:4,1,2,0,1,8.336281478146207,19.06828756919795,19.548248425657075,0.3694301376028807
clip_1.mp4,2,1,4:4:4,1,2,0,1,1.0,1.0,1.0,0.3632839827674897
clip_1.mp4,3,0,4:4:4,1,2,0,1,1.4564129649972046,3.5025843721495895,3.809425830464384,0.3602473958333333
clip_1.mp4,4,1,4:4:4,1,2,0,1,1.0,1.0,1.0,0.3595095486111111
clip_1.mp4,5,0,4:4:4,1,2,0,1,1.554585938554271,3.6155039840984777,3.8298296745309677,0.35903452932098767
clip_1.mp4,6,1,4:4:4,1,2,0,1,1.0,1.0,1.0,0.3592319315843621
clip_1.mp4,7,0,4:4:4,1,2,0,1,1.7053893791481278,4.130529184212518,4.597538046755827,0.35902199074074076
clip_1.mp4,8,1,4:4:4,1,2,0,1,1.0,1.0,1.0,0.36033307613168725
clip_1.mp4,9,0,4:4:4,1,2,0,1,1.325961763498452,3.344235644752376,3.549979798533168,0.36248601466049385
